"date","source_pm2p5.x","Org.x","NH4.x","SO4.x","NO3.x","Chl.x","source_pm2p5.y","Org.y","NH4.y","SO4.y","NO3.y","Chl.y","PM1","PM2p5","PM10","qc_flag_Org.x","qc_flag_NH4.x","qc_flag_SO4.x","qc_flag_NO3.x","qc_flag_Chl.x","qc_flag_Org.y","qc_flag_NH4.y","qc_flag_SO4.y","qc_flag_NO3.y","qc_flag_Chl.y","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2022-05-17 15:00:00,"BAQS",0,0.243886605346599,0.34198546870408,0.0796288962372322,0,"BAQS",0,0.243886605346599,0.34198546870408,0.0796288962372322,0,3.20089326666667,5.95556735,12.04950015,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 16:00:00,"BAQS",4.351422385462,0.132825008937043,0.245399061455907,0.0525207510050698,0,"BAQS",4.351422385462,0.132825008937043,0.245399061455907,0.0525207510050698,0,2.6837316,5.042469,11.0713746,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 17:00:00,"BAQS",4.65637854826066,0,0.38876613723376,0.161410362071851,0.00174637721606081,"BAQS",4.65637854826066,0,0.38876613723376,0.161410362071851,0.00174637721606081,2.33934853333333,4.30951528333333,10.4963957666667,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 18:00:00,"BAQS",1.79530687564298,0.206602932632297,0.47730272590639,0.428822024796039,0.164577143998051,"BAQS",1.79530687564298,0.206602932632297,0.47730272590639,0.428822024796039,0.164577143998051,2.43164843333333,4.35604505,10.97144805,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 19:00:00,"BAQS",0,0.28631992159939,0.802493755762762,0.279942283179087,0,"BAQS",0,0.28631992159939,0.802493755762762,0.279942283179087,0,2.87258556666667,4.69317571666667,10.29979,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 20:00:00,"BAQS",2.71998403927418,0.267396399247813,0.680634377865646,0.35206244200388,0.0103232334430467,"BAQS",2.71998403927418,0.267396399247813,0.680634377865646,0.35206244200388,0.0103232334430467,3.08346751666667,4.43239425,7.44014903333333,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 21:00:00,"BAQS",0,0.307931068742815,0.431117079958462,0.353163405743053,0.0474632146372688,"BAQS",0,0.307931068742815,0.431117079958462,0.353163405743053,0.0474632146372688,3.73546928333333,4.95689023333333,7.3623754,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 22:00:00,"BAQS",1.67908092034543,0.179882263181384,0.153248857861612,0.25848695418592,0,"BAQS",1.67908092034543,0.179882263181384,0.153248857861612,0.25848695418592,0,3.23642185,4.39426171666667,7.01272091666667,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-17 23:00:00,"BAQS",6.42313480724378,0.125221975417493,0.0352902656290151,0.279203892632232,0.141016967588008,"BAQS",6.42313480724378,0.125221975417493,0.0352902656290151,0.279203892632232,0.141016967588008,2.85965645,3.88987518333333,6.09176123333333,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-18,"BAQS",0,0.0385604589564937,0.0378045396559921,0.149815468720969,0,"BAQS",0,0.0385604589564937,0.0378045396559921,0.149815468720969,0,1.56670575,2.3708724,4.46786281666667,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-18 01:00:00,"BAQS",0,0.0562359911682621,0.1802785760809,0.0500958859952581,0.0588453386103715,"BAQS",0,0.0562359911682621,0.1802785760809,0.0500958859952581,0.0588453386103715,1.10691125,1.86128895,3.51259653333333,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-18 02:00:00,"BAQS",2.98268526189322,0,0.246760328492338,0,0.00336780166914367,"BAQS",2.98268526189322,0,0.246760328492338,0,0.00336780166914367,1.30578691666667,2.28955073333333,4.47641333333333,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
2022-05-18 03:00:00,"BAQS",0,0.185625962885189,0.296787521453749,0.112662161536683,0,"BAQS",0,0.185625962885189,0.296787521453749,0.112662161536683,0,1.53957733333333,2.71648426666667,4.94475771666667,"3b","3b","3b","3b","2b","3b","3b","3b","3b","2b",1,1,1
