"datetime","pm_fraction","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Te","Ba","La","Ce","Pt","Hg","Tl","Pb","Bi","Al_Flags","Si_Flags","P_Flags","S_Flags","Cl_Flags","K_Flags","Ca_Flags","Ti_Flags","V_Flags","Cr_Flags","Mn_Flags","Fe_Flags","Co_Flags","Ni_Flags","Cu_Flags","Zn_Flags","Ga_Flags","Ge_Flags","As_Flags","Se_Flags","Br_Flags","Sr_Flags","Y_Flags","Zr_Flags","Mo_Flags","Pd_Flags","Ag_Flags","Cd_Flags","In_Flags","Sn_Flags","Sb_Flags","Te_Flags","Ba_Flags","La_Flags","Ce_Flags","Pt_Flags","Hg_Flags","Tl_Flags","Pb_Flags","Bi_Flags"
"2021-08-11 09:00:00","PM2.5",NA,0,0,534.0567,0,34.4297,31.4162,NA,NA,0,NA,46.5644,0,NA,1.2807,12.5931,0,0,0.4009,NA,1.5683,NA,0,0,0,11.0422,NA,NA,0,NA,0,0,NA,0,NA,0,0,0,1.8841,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,NA,NA
"2021-08-11 10:00:00","PM10",NA,NA,0,377.6895,136.4281,93.7637,255.9717,6.9197,NA,0,1.0863,124.8097,0,NA,2.7889,11.5731,0,0,NA,0,1.0489,NA,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,2.0725,0,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-08-11 11:00:00","PM2.5",979.1081,0,0,249.2962,0,26.8538,48.3453,NA,0,NA,NA,42.122,0,0,1.5438,3.6679,0,0,0.5416,0,0.8983,NA,0,0,0,17.8435,0,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA
"2021-08-11 12:00:00","PM10",NA,NA,0,265.1804,NA,74.2346,250.7676,9.4531,0,0.819,1.5825,167.2754,0,0,3.4109,8.5593,0,0,NA,0,1.2828,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-11 13:00:00","PM2.5",0,NA,0,216.3827,0,47.2134,59.4219,2.7253,0,0,NA,56.5204,0,NA,1.9511,4.0028,0,0,0.4653,NA,1.1508,0,0,0,0,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0.0048,0,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA
"2021-08-11 14:00:00","PM10",NA,539.3888,0,256.6816,0,113.5946,359.2684,10.5473,NA,NA,2.2787,192.2426,0,NA,3.6488,5.4911,0,0,0.8344,0,1.4107,NA,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA
"2021-08-11 15:00:00","PM2.5",NA,0,0,171.0565,0,24.7165,37.5589,1.6706,NA,NA,NA,42.3799,0,NA,1.3196,4.96,0,0,NA,0,1.2654,NA,0,0,0,16.9175,NA,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA
"2021-08-11 16:00:00","PM10",0,252.1046,0,281.3301,NA,90.2004,308.5938,11.174,NA,0.8224,2.1549,188.7519,0,0,3.3941,6.2189,0,0,0,0,2.2099,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0.9001,0,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-11 17:00:00","PM2.5",NA,1.1048,0,190.879,0,27.3258,40.6738,1.3021,NA,0,0,44.4888,0,0,1.3555,2.3504,0,0,NA,0,1.4269,NA,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,"E: Uncertainty",NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-11 18:00:00","PM10",0,NA,0,286.3144,12.4841,77.7218,319.9564,5.3104,NA,NA,2.0705,96.3099,0,NA,2.3987,4.4754,0,0,0.4607,NA,2.105,2.2874,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,1.1771,0,NA,"E: Uncertainty",NA,NA,NA,NA,NA,NA,"E: Uncertainty","E: Uncertainty",NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,NA,NA,"E: Uncertainty",NA,NA,NA,"E: Uncertainty","E: Uncertainty","E: Uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
