"Date_UTC","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","PM1","PM2p5","PM10","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2024-05-18 10:00:00,"BAQS",1.87854080881638,6.36667366407745,0,15.8944916290575,0.644288948048673,0.958533333333333,0.980566666666667,0.935216666666667,0.928683333333333,0.895283333333333,0.874533333333333,0.882266666666667,23.9498151166667,25.68199505,28.9654230833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 11:00:00,"BAQS",1.75430778546587,5.39882804229293,0.536727146598045,14.0335804700315,0.585938572682844,0.825616666666667,0.846783333333333,0.811416666666667,0.806533333333333,0.77695,0.760866666666667,0.767366666666667,27.0186157,29.0057432833333,33.1216325833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 12:00:00,"BAQS",0.936782370655243,3.33819406650988,0,7.29334304841274,0.216082657691814,0.68115,0.684,0.6531,0.647466666666667,0.619616666666667,0.601333333333333,0.616050847457627,23.5230991,25.1715992666667,28.8744409166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 13:00:00,"BAQS",0.763998405125397,1.90109089937613,0.352317063417418,3.16518217752089,0.0669414984470326,0.638133333333333,0.627883333333333,0.59675,0.587933333333333,0.5621,0.53985,0.5449,20.9814146166667,22.3109159833333,25.7254105833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 14:00:00,"BAQS",0.706225755955611,2.35794092690649,0.136560468967005,4.42104229178596,0.158958833186793,0.7118,0.70495,0.672933333333333,0.665433333333333,0.638416666666667,0.616766666666667,0.624816666666667,15.15876935,16.5825253666667,22.6685359,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 15:00:00,"BAQS",0.959988154963437,2.40874157228041,0.097787004102391,5.08776508726222,0.046956732606126,0.711383333333333,0.709466666666667,0.678183333333333,0.6703,0.6431,0.631423728813559,0.639135593220339,12.17524595,13.6909839,20.2561967333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 16:00:00,"BAQS",1.48155852861684,3.09873039359584,0.449141652680563,6.62887980115403,0.177080002277298,0.782583333333333,0.77,0.737566666666667,0.73015,0.699816666666667,0.676583333333333,0.684316666666667,14.26988515,15.53392885,20.4226468333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 17:00:00,"BAQS",0.93678474642805,2.98280894207659,0.386633869653187,5.53565298343622,0.177118524980689,0.78285,0.76335,0.726133333333333,0.71385,0.681416666666667,0.653466666666667,0.660983333333333,14.9894800166667,16.5120182,22.8589439333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 18:00:00,"BAQS",0.872318771232567,1.24089854545267,0,2.59903494068228,0.118449976315056,0.743583333333333,0.712966666666667,0.671966666666667,0.654566666666667,0.6186,0.588216666666667,0.59305,17.6512031833333,19.6873438,28.8601518333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-18 19:00:00,"BAQS",0.403236569618639,0.774308912532685,0.0640945620993374,0.845800994448939,0.0484153925526615,0.778,0.753133333333333,0.711116666666667,0.693766666666667,0.65625,0.62925,0.646050847457627,16.1753374333333,18.1729737833333,26.2274345333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
