"Date_UTC","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-08-10 06:00:00,"LW",3.82598397381727,0.918615585653542,0.887708366498162,0.35037710612274,0,0.514533333333333,0.51775,0.494483333333333,0.488983333333333,0.463166666666667,0.472983333333333,0.4754,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 07:00:00,"LW",3.74496299825676,0.873822757661404,0.930073130951207,0.305142640381705,0,0.555616666666667,0.551583333333333,0.527983333333333,0.521816666666667,0.494516666666667,0.502483333333333,0.50675,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 08:00:00,"LW",3.46196908979059,1.19496249794858,0.891105807303697,0.384241420899141,0,0.514272727272727,0.451947368421053,0.428157894736842,0.416543859649123,0.397754385964912,0.392245614035088,0.400228070175439,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 09:00:00,"LW",2.02610695717435,0.809687681720602,0.782344246976616,0.281384885613273,0,0.427423076923077,0.380018181818182,0.368037037037037,0.360907407407407,0.344163636363636,0.355980769230769,0.365903846153846,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 10:00:00,"LW",2.28907321808754,0.694988093738241,0.779901594243272,0.176811614029446,0,0.428703703703704,0.389181818181818,0.363035714285714,0.357,0.352581818181818,0.34812962962963,0.366075471698113,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 11:00:00,"LW",2.49072487697203,0.709668554489168,0.783401463113734,0.328905266289613,0.00303421159512478,0.625560975609756,0.547285714285714,0.514952380952381,0.494581395348837,0.493452380952381,0.526282051282051,0.53035,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 12:00:00,"LW",2.22841642937918,0.582252124702152,0.639752955083559,0.333680169080384,0,0.753423076923077,0.662727272727273,0.621745454545455,0.626396226415094,0.600943396226415,0.596450980392157,0.602019230769231,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 13:00:00,"LW",3.46228712269077,0.343817614539901,0.833961896538359,0.419616099034806,0,0.684673469387755,0.605274509803922,0.544509433962264,0.545901960784314,0.52343137254902,0.50304,0.529632653061224,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 14:00:00,"LW",2.04562964705965,0.368679509220706,0.799038295974504,0.181711453645817,0,0.498648148148148,0.293357142857143,0.274607142857143,0.2784,0.266178571428571,0.260759259259259,0.270759259259259,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 15:00:00,"LW",2.47443725469108,0.689897065989017,0.295147148171887,0.166848123051484,0,0.42125,0.380883333333333,0.35535,0.349116666666667,0.338633333333333,0.322366666666667,0.32655,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 16:00:00,"LW",2.48450442708252,0.65139949690353,0.674563555680042,0.11257354338188,0.00141255747143523,0.466466666666667,0.457516666666667,0.42935,0.420883333333333,0.40695,0.395677966101695,0.40128813559322,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 17:00:00,"LW",2.02460622869731,0.523494097388919,0.5177149942823,0.134649730070461,0.0104534332608548,0.2904,0.285166666666667,0.2696,0.265483333333333,0.256383333333333,0.251383333333333,0.2526,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 18:00:00,"LW",1.7225642928932,0.613097032667716,0.533720454451474,0.133195891530028,0.00478876428368732,0.382883333333333,0.392666666666667,0.3728,0.36745,0.35355,0.349116666666667,0.354898305084746,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 19:00:00,"LW",2.22295229993535,0.367968214051306,0.57964170177832,0.150366768159648,0,0.4708,0.465616666666667,0.435316666666667,0.4247,0.403833333333333,0.398183333333333,0.39535,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
2021-08-10 20:00:00,"LW",1.89117374090922,0.534211277887835,0.786601315369695,0.127330469056619,0,0.515433333333333,0.48755,0.451316666666667,0.436116666666667,0.410533333333333,0.402916666666667,0.39735,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b"
