"Date_UTC","Rain_Intensity","Total_Precip","Liquid_Precip","Solid_Precip","Precipitation.amount","Air_Temp","RH","Precipitation_amount","RH....","Temperature..C.","Station.Level.Pressure..hPa.","MSLP..hPa.","u","v","w","speed","direction","qc_flag_Rain_Intensity","qc_flag_Total_Precip","qc_flag_Liquid_Precip","qc_flag_Solid_Precip","qc_flag_Precipitation_amount","qc_flag_Air_Temp","qc_flag_RH","qc_flag_Relative_Humidity_pct"
2020-10-01 21:00:00,0,0,0,0,202.67,-9.9,100,NA,81.5974328,8.7443636,975.959706666667,993.507377854517,-0.673216426512968,1.04136887608069,-0.0106605187319885,1.33330576368876,57.8221371757925,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 22:00:00,0.13885,0.163116666666667,0.163116666666667,0,202.6975,3.74833333333333,98.8166666666667,NA,80.2163273333333,9.1702037,975.311352566667,992.820674255719,-0.641715233698788,1.33823658395845,0.0221234852856319,1.62498326601269,67.4058306405078,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-01 23:00:00,0.34315,0.326766666666667,0.326766666666667,0,202.983333333333,17.82,100,NA,88.2348675166667,8.71981011666667,974.721615616667,992.248564560543,-0.73652885170225,1.21728159261396,0.0255470282746682,1.51327986151183,59.4806785920369,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02,0.496448275862069,0.509051724137931,0.509051724137931,0,203.35,18.8931034482759,100,NA,92.5197864333333,8.35006903333333,974.14652,991.686337517749,-1.65762233121754,1.76415753029429,0.0768831506058857,2.50651471436815,48.0540712637046,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 01:00:00,0.142616666666667,0.124233333333333,0.124233333333333,0,203.726166666667,8.06333333333333,96.9833333333333,NA,93.665938,8.09571208333333,973.585851,991.131568500216,-1.85204586097491,2.34469079896164,0.047022209402942,3.11229102970868,51.8004219786559,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 02:00:00,0.265266666666667,0.264716666666667,0.264716666666667,0,203.907666666667,-2.73833333333333,93.3166666666667,NA,94.60803385,8.16159056666667,973.16643885,990.700454666712,-2.01060773002596,2.25320536486876,0.0763882319007788,3.14032391116239,49.4982520911451,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 03:00:00,0.03785,0.0527833333333333,0.0527833333333333,0,204.046333333333,-5.98833333333333,99.0666666666667,NA,94.89354415,8.3803798,973.115161166667,990.634509339293,-2.03587012987013,2.55363520923521,0.0910917748917749,3.41570331890332,51.739683982684,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 04:00:00,0.112916666666667,0.0979333333333333,0.0979333333333333,0,204.150833333333,3.34166666666667,94.2166666666667,NA,94.3540709333333,8.74223706666667,973.013279266667,990.508102441098,-2.55673175656187,2.6357983847707,0.143410152869916,3.83181972887222,47.5504701471012,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 05:00:00,0.109233333333333,0.11245,0.11245,0,204.236333333333,7.31166666666667,96.8166666666667,NA,94.3646537,8.62775163333333,973.0563213,990.5590912929,-2.83941794058264,2.85283732333429,0.184241707528122,4.18229276031151,45.9381618113643,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 06:00:00,0.126783333333333,0.12495,0.12495,0,204.367833333333,11.8883333333333,99.15,NA,93.74298855,8.8307943,973.455818566667,990.953051406178,-3.36169426016729,3.09103115085088,0.190510239400058,4.73365647533891,44.1136564753389,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 07:00:00,0.206933333333333,0.221116666666667,0.221116666666667,0,204.502,14.5033333333333,99.6833333333333,NA,93.3992198666667,9.39662818333333,973.961299733333,991.432253720557,-3.4926731102135,2.98793450663589,0.157510675129833,4.77089526832083,44.9381572417773,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 08:00:00,0.392383333333333,0.386233333333333,0.386233333333333,0,204.856166666667,18.9533333333333,100,NA,93.6335784333333,9.85267061666667,974.1087474,991.553934281988,-3.69524271284271,3.20955670995671,0.226593939393939,5.10645598845599,44.9549336219336,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 09:00:00,0.309966666666667,0.30745,0.30745,0,205.178833333333,15.8166666666667,100,NA,93.9806522,10.2843973,974.36081445,991.783700193417,-3.90082203634266,3.65041101817133,0.21132275742717,5.55156446495529,45.1322766080185,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 10:00:00,0.653983333333333,0.688033333333333,0.688033333333333,0,205.627333333333,20.075,100,NA,93.20332525,10.8159295833333,974.714737933333,992.111039248287,-3.67801211072664,3.4489630911188,0.2152223183391,5.25150749711649,44.8994287773933,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 11:00:00,0.65,0.63015,0.63015,0,206.4,21.5233333333333,100,NA,93.5875807166667,11.2778130166667,974.891953633333,992.262915192508,-3.36506176046176,3.20205079365079,0.126916017316017,4.84423924963925,46.1047595959596,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 12:00:00,0.859033333333333,0.899283333333333,0.894033333333333,0.00525,206.996166666667,22.8,99.1666666666667,NA,89.6203899666667,11.6670151666667,974.972076233333,992.320510012161,-3.87578585858586,3.70523203463203,0.264524386724387,5.58078556998557,45.5947722943723,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 13:00:00,1.31133333333333,1.28971666666667,1.28971666666667,0,208.212833333333,26.1483333333333,100,NA,90.3930283333333,11.5579163333333,975.176287866667,992.535064573989,-3.8223830400923,3.35969339486588,0.233436688779925,5.28602307470436,43.084803865013,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 14:00:00,0.555116666666667,0.531,0.531,0,209.174666666667,20.54,97.2166666666667,NA,91.6062902833333,11.4401885166667,975.647664433333,993.02207852306,-3.65824502164502,3.17969090909091,0.196403751803752,5.02823953823954,43.4905503607504,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 15:00:00,0.5576,0.561716666666667,0.561716666666667,0,209.6835,20.2,100,NA,90.75091555,11.6253789333333,976.154074033333,993.526102379016,-3.85347459584296,3.42751674364896,0.237077944572748,5.38369081986143,47.7937286374134,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 16:00:00,0.140716666666667,0.133166666666667,0.117133333333333,0,210.008,9.35,93.4333333333333,NA,92.4436213333333,11.77284735,976.752065066667,994.125657972997,-3.90397229437229,3.38604069264069,0.234423953823954,5.41033852813853,46.9664063492064,"1b","1b","1b","1b","1b","1b",1,"b"
2020-10-02 17:00:00,0.8936,0.889983333333333,0.889983333333333,0,210.5425,21.9366666666667,100,NA,92.6630933666667,11.67069465,977.5022888,994.895519563472,-3.51901009809579,2.62408136180035,0.15133641084824,4.60118869013272,48.7033874783612,"1b","1b","1b","1b","1b","1b",1,"b"
